Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2021-01-16,Incline Dumbbell Bench Press,Chest,7.5,12,,,,""
2021-01-16,Incline Dumbbell Bench Press,Chest,10.0,10,,,,""
2021-01-16,Incline Dumbbell Bench Press,Chest,10.0,8,,,,""
2021-01-16,Flat Dumbbell Bench Press,Chest,10.0,12,,,,""
2021-01-16,Flat Dumbbell Bench Press,Chest,12.5,10,,,,""
2021-01-16,Flat Dumbbell Bench Press,Chest,12.5,8,,,,""
2021-01-16,Decline Dumbbell Press,Chest,7.5,12,,,,""
2021-01-16,Decline Dumbbell Press,Chest,10.0,10,,,,""
2021-01-16,Decline Dumbbell Press,Chest,10.0,8,,,,""
2021-01-16,Seated Machine Fly,Chest,25.0,10,,,,""
2021-01-16,Seated Machine Fly,Chest,30.0,8,,,,""
2021-01-16,Seated Machine Fly,Chest,30.0,8,,,,""
2021-01-16,Rope Push Down,Triceps,25.0,12,,,,""
2021-01-16,Rope Push Down,Triceps,30.0,10,,,,""
2021-01-16,Rope Push Down,Triceps,35.0,8,,,,""
2021-01-16,Dumbbell Overhead Triceps Extension,Triceps,7.5,12,,,,""
2021-01-16,Dumbbell Overhead Triceps Extension,Triceps,10.0,10,,,,""
2021-01-16,Dumbbell Overhead Triceps Extension,Triceps,12.5,8,,,,""
2021-01-17,Lat Pulldown,Back,25.0,10,,,,""
2021-01-17,Lat Pulldown,Back,30.0,10,,,,""
2021-01-17,Lat Pulldown,Back,35.0,8,,,,""
2021-01-17,Seated Cable Row,Back,25.0,10,,,,""
2021-01-17,Seated Cable Row,Back,30.0,8,,,,""
2021-01-17,Seated Cable Row,Back,30.0,8,,,,""
2021-01-17,Dumbbell Row,Back,7.5,12,,,,""
2021-01-17,Dumbbell Row,Back,10.0,10,,,,""
2021-01-17,Dumbbell Row,Back,12.5,8,,,,""
2021-01-17,Cable Curl,Biceps,25.0,12,,,,""
2021-01-17,Cable Curl,Biceps,30.0,10,,,,""
2021-01-17,Cable Curl,Biceps,35.0,8,,,,""
2021-01-17,Dumbbell Curl,Biceps,7.5,12,,,,""
2021-01-17,Dumbbell Curl,Biceps,10.0,10,,,,""
2021-01-17,Dumbbell Curl,Biceps,12.5,8,,,,""
2021-01-17,Preacher Curl,Biceps,5.0,12,,,,""
2021-01-17,Preacher Curl,Biceps,7.5,10,,,,""
2021-01-17,Preacher Curl,Biceps,7.5,10,,,,""
2021-01-17,Hammer Curls,Biceps,5.0,12,,,,""
2021-01-17,Hammer Curls,Biceps,7.5,10,,,,""
2021-01-17,Hammer Curls,Biceps,7.5,8,,,,""
2021-01-18,Front Dumbbell Raise,Shoulders,7.5,12,,,,""
2021-01-18,Front Dumbbell Raise,Shoulders,10.0,10,,,,""
2021-01-18,Front Dumbbell Raise,Shoulders,15.0,4,,,,""
2021-01-18,Front Dumbbell Raise,Shoulders,15.0,5,,,,""
2021-01-18,Barbell Shrugs,Shoulders,10.0,12,,,,""
2021-01-18,Barbell Shrugs,Shoulders,15.0,10,,,,""
2021-01-18,Barbell Shrugs,Shoulders,25.0,10,,,,""
2021-01-19,Walking,Cardio,,,1.0,km,0:15:00,""
2021-01-20,Deadlift,Back,40.0,8,,,,""
2021-01-20,Deadlift,Back,50.0,5,,,,""
2021-01-20,Deadlift,Back,60.0,3,,,,""
2021-01-20,Barbell Squat,Legs,10.0,9,,,,""
2021-01-20,Barbell Squat,Legs,15.0,7,,,,""
2021-01-20,Barbell Squat,Legs,20.0,7,,,,""
2021-01-20,Leg Extension Machine,Legs,30.0,12,,,,""
2021-01-20,Leg Extension Machine,Legs,35.0,10,,,,""
2021-01-20,Leg Extension Machine,Legs,40.0,10,,,,""
2021-01-20,Seated Leg Curl Machine,Legs,30.0,12,,,,""
2021-01-20,Seated Leg Curl Machine,Legs,40.0,12,,,,""
2021-01-20,Seated Leg Curl Machine,Legs,45.0,10,,,,""
2021-01-21,Home Workout,Abs,,,1.0,m,0:30:00,""
2021-01-22,Flat Dumbbell Bench Press,Chest,10.0,12,,,,""
2021-01-22,Flat Dumbbell Bench Press,Chest,12.5,10,,,,""
2021-01-22,Flat Dumbbell Bench Press,Chest,15.0,8,,,,""
2021-01-22,Decline Dumbbell Press,Chest,10.0,10,,,,""
2021-01-22,Decline Dumbbell Press,Chest,10.0,10,,,,""
2021-01-22,Decline Dumbbell Press,Chest,12.5,8,,,,""
2021-01-22,Incline Dumbbell Bench Press,Chest,10.0,12,,,,""
2021-01-22,Incline Dumbbell Bench Press,Chest,12.5,8,,,,""
2021-01-22,Incline Dumbbell Bench Press,Chest,12.5,10,,,,""
